# HEADER0:1281
# HEADER1:1792
# HEADER2:513
# HEADER3:770
# HEADER4:32772
257781 12078 0
350269 10969 0
430998 16383 0
441040 10956 0
548334 10909 0
655321 10989 0
737018 16383 0
879648 16383 0
1037995 10949 0
1312235 16383 0
1482431 16383 0
1592361 16383 0
1798922 16383 0
1913843 16383 0
1914614 0 0
2006376 10946 0
2117777 16383 0
2221375 10569 0
2338686 16383 0
2353852 16383 0
2498235 16383 0
2630449 16382 0
2910796 11240 0
3036674 16383 0
3073477 10929 0
3100104 16383 0
3294384 11577 0
3433493 11019 0
3463913 10991 0
3542656 16383 0
3612438 16383 0
3991869 9948 0
3993895 16383 0
4008458 10941 0
4041584 16383 0
4050278 16383 0
4114823 16383 0
4153235 16383 0
4251072 16383 0
4298325 16383 0
4525598 10938 0
4593242 16383 0
4718791 16383 0
4899558 10932 0
5266526 12780 0
5390159 16383 0
5433590 13051 0
5554129 10937 0
5560588 13483 0
5600444 10499 0
6031290 10927 0
6178809 16383 0
6419707 10999 0
6446169 12667 0
6610989 10952 0
6625793 16383 0
7018883 16383 0
7149524 16383 0
7385348 16374 0
7564152 16383 0
7575668 16383 0
7609215 16383 0
7620428 10990 0
7654836 16383 0
7703473 16383 0
7709957 10904 0
7844638 14377 0
7982646 10978 0
8035671 16383 0
8211582 16383 0
8480258 16383 0
8653359 11013 0
8941829 16383 0
9026130 16383 0
9110688 10872 0
9191050 16383 0
9206500 10973 0
9387402 16383 0
9720367 16383 0
9722764 10983 0
9726683 16383 0
9798786 16383 0
9800797 10949 0
9838015 16383 0
9892274 16383 0
10009449 0 0
10009903 0 0
10257254 10972 0
10278835 16383 0
10703915 10976 0
10756848 16383 0
10921899 10985 0
11093218 16383 0
11166668 10977 0
11276874 11240 0
11584251 16383 0
12158685 16383 0
12354748 16383 0
12504833 16383 0
12593718 16383 0
12729344 10975 0
12792081 16383 0
12827670 13899 0
12997349 10948 0
13277232 16383 0
13308143 16383 0
13369396 9918 0
13388107 10969 0
13427308 16283 0
13626235 16383 0
13736230 13720 0
13838356 16383 0
13908221 10889 0
13954982 16383 0
14051399 16383 0
14174121 16383 0
14256002 10965 0
14455517 16383 0
15152479 16383 0
15227712 16383 0
16224837 11001 0
16266256 13233 0
16338117 16383 0
16413547 13677 0
16839328 10893 0
16848843 10940 0
16988414 16310 0
17105786 16383 0
17229119 13332 0
17528775 16383 0
17716186 16383 0
17765894 16383 0
17837962 16383 0
17846114 10931 0
17969594 16383 0
18099904 10914 0
18205303 16383 0
18249432 16383 0
18267104 16383 0
18314510 16383 0
18560232 10758 0
18633955 11765 0
18711166 16383 0
18722907 11627 0
18862164 16383 0
18916441 16383 0
19080536 10961 0
19090814 16383 0
19150477 14147 0
19183175 10931 0
19383408 10940 0
19599671 16383 0
19634205 16383 0
19674652 10947 0
19807242 10924 0
19859730 16383 0
19866881 0 0
19867150 0 0
20023059 10895 0
20273118 14737 0
20407251 10935 0
20447768 16383 0
20486699 16383 0
20557249 10955 0
20995977 16383 0
21186152 13635 0
21241704 16383 0
21362381 10957 0
21402549 16383 0
21655857 16383 0
21949188 16383 0
22227144 16383 0
22322150 16383 0
22380710 16383 0
22508711 16383 0
22554076 10962 0
22743774 10944 0
22775233 12010 0
22786189 9656 0
22792421 16383 0
22907419 10807 0
23133516 11980 0
23291689 11615 0
23322395 16383 0
23335843 10933 0
23453515 11004 0
23621862 16173 0
23726499 15344 0
24135023 10944 0
24135900 0 0
24172361 16383 0
24197209 15689 0
24556878 10535 0
24566720 14242 0
24620775 16383 0
24970799 16383 0
25109468 16383 0
25213183 14312 0
25454909 16383 0
25519283 10958 0
25552679 16383 0
25665824 16383 0
25890854 16383 0
25954151 10945 0
26038269 16383 0
26076176 16383 0
26109809 10930 0
26315092 16383 0
26352129 16383 0
26508499 10961 0
26535585 10910 0
26636234 16383 0
26735941 10977 0
26769101 14363 0
26853594 10963 0
26971870 10955 0
27176581 9821 0
27254230 16383 0
27355061 16383 0
27445353 11002 0
27722266 16383 0
27752037 10956 0
27849919 10985 0
27860118 10823 0
28020459 10976 0
28124687 10979 0
28237202 16383 0
28438745 0 0
28439016 0 0
28543185 16383 0
28865958 16383 0
29288480 16383 0
29343705 16383 0
29588795 9719 0
29617123 10956 0
29706159 10973 0
30100923 16383 0
30381836 15823 0
30592481 16383 0
30595727 16383 0
30615752 16383 0
30658216 10962 0
30703506 16383 0
30735849 16383 0
30906765 16383 0
30916001 10971 0
31221241 16383 0
31720637 10960 0
32076269 10998 0
32284312 9894 0
32312082 16383 0
32443890 16383 0
32704801 16383 0
32858053 10931 0
33038691 16383 0
33563548 9063 0
33697712 16383 0
33705761 16383 0
33959923 16383 0
33960976 0 0
34161240 10924 0
34162175 0 0
34840573 10940 0
34882720 16383 0
35065140 10932 0
35144630 16383 0
35526703 16383 0
35628135 10969 0
35678630 10906 0
36064228 16383 0
36082083 16383 0
36086966 14491 0
36266915 15915 0
36683094 12532 0
36697921 12221 0
36818668 16383 0
36863994 10960 0
36955463 10886 0
37069478 10210 0
37236321 10994 0
37341273 16383 0
37427159 16383 0
37433942 10911 0
37527739 10967 0
37578825 16383 0
37773859 14339 0
37777673 16383 0
37891009 14184 0
37892382 10948 0
37915812 16383 0
38155537 16383 0
38287905 16383 0
38316582 16383 0
38372886 16383 0
38374371 16383 0
38525633 16383 0
38571782 11133 0
38619371 16383 0
38929292 10969 0
39004235 10957 0
39113742 10985 0
39150460 16383 0
39205323 16383 0
39226018 16383 0
39366653 10960 0
39569753 16383 0
39633853 16383 0
39645767 16383 0
39822670 16383 0
39892136 16383 0
39898500 10903 0
40018077 10947 0
40166698 16383 0
40240643 10941 0
40318676 16383 0
40412677 16383 0
40470235 10938 0
40564169 10952 0
40576505 16383 0
40631289 10982 0
40714723 16383 0
40767277 16383 0
40856873 10876 0
40869541 16383 0
40901060 16383 0
40996977 8823 0
41001468 16383 0
41007834 10946 0
41112354 16383 0
41130588 16383 0
41175662 10967 0
41183927 16383 0
41347421 10958 0
41468732 15148 0
41511992 16383 0
41689068 16383 0
41769341 12085 0
41959784 16181 0
41994767 16383 0
42101931 16383 0
42172999 16383 0
42299422 11006 0
42367461 10985 0
42487319 13267 0
42670327 16383 0
42873635 10972 0
42900669 13344 0
43006100 16383 0
43170477 16383 0
43225460 16383 0
43308303 10926 0
43679530 15366 0
43741606 12172 0
43758983 10985 0
43789240 10946 0
43979719 10958 0
43997920 16383 0
44021998 11017 0
44142354 16383 0
44147074 16383 0
44600630 16383 0
44727983 11396 0
44729110 16383 0
44862176 15476 0
45243429 16383 0
45273778 11029 0
45317061 16383 0
45323529 16383 0
45341924 10934 0
45455287 10963 0
